ts,clo,e,met,voto,Temperatura_prom,Humedad_prom,Presion_prom,PMV,PPD,Mmod,ePMV
2024-11-20 09:56:49.630,0.3,0.7,1.0,-0.6,25.30522,53.420015,880.8836583333333,-0.75,16.8,1.05025,-0.40599999999999997
2024-11-20 09:56:52.536,0.56,0.7,1.0,-0.4,25.30522,53.420015,880.8836583333333,-0.07,5.1,1.00469,-0.041999999999999996
2024-11-20 09:57:12.952,0.74,0.7,1.0,0.0,25.30522,53.420015,880.8836583333333,0.27,6.6,0.98191,0.13999999999999999
2024-11-20 09:57:13.659,0.7,0.7,1.0,0.0,25.30522,53.420015,880.8836583333333,0.2,5.9,0.9866,0.105
2024-11-20 09:57:27.122,0.7899999999999999,0.7,1.0,-0.4,25.30522,53.420015,880.8836583333333,0.35,7.6,0.97655,0.189
2024-11-20 09:58:50.176,0.59,0.7,1.0,-0.4,25.30522,53.420015,880.8836583333333,-0.01,5.0,1.00067,-0.006999999999999999
2024-11-20 09:59:02.611,0.27,0.7,1.7,1.0,25.30522,53.420015,880.8836583333333,0.58,12.2,1.633938,0.35
2024-11-20 10:14:40.338,0.7999999999999999,0.7,1.0,0.4,24.975535,57.582175,855.3921250000001,0.3,6.9,0.9799,0.161
2024-11-20 10:14:40.970,0.94,0.7,1.1,0.0,24.975535,57.582175,855.3921250000001,0.67,14.4,1.050621,0.413
2024-11-20 10:14:46.079,0.51,0.7,1.1,0.0,24.975535,57.582175,855.3921250000001,-0.02,5.0,1.101474,-0.013999999999999999
2024-11-20 10:14:51.958,0.59,0.7,1.0,-0.2,24.975535,57.582175,855.3921250000001,-0.09,5.2,1.00603,-0.055999999999999994
2024-11-20 10:15:17.552,0.33,0.7,1.1,0.4,24.975535,57.582175,855.3921250000001,-0.45,9.2,1.133165,-0.24499999999999997
2024-11-20 10:15:58.380,0.95,0.7,1.0,-1.0,24.975535,57.582175,855.3921250000001,0.52,10.7,0.96516,0.27999999999999997
2024-11-20 10:16:11.961,0.53,0.7,1.0,1.0,24.975535,57.582175,855.3921250000001,-0.23,6.1,1.01541,-0.13299999999999998
2024-11-20 10:16:12.396,0.74,0.7,1.0,-0.8,24.975535,57.582175,855.3921250000001,0.2,5.8,0.9866,0.105
2024-11-20 10:16:24.922,0.5,0.7,1.0,-1.2,24.975535,57.582175,855.3921250000001,-0.3,6.9,1.0201,-0.175
2024-11-20 10:16:33.507,0.75,0.7,1.0,0.0,24.975535,57.582175,855.3921250000001,0.22,6.0,0.98526,0.11199999999999999
2024-11-20 10:16:38.153,0.6799999999999999,0.7,1.1,0.0,24.975535,57.582175,855.3921250000001,0.3,6.9,1.07789,0.182
2024-11-20 10:16:49.015,0.58,0.7,1.1,0.6,24.975535,57.582175,855.3921250000001,0.12,5.3,1.091156,0.06999999999999999
2024-11-20 10:17:30.039,0.47,0.7,2.6,2.0,24.975535,57.582175,855.3921250000001,1.68,60.8,2.307344,0.9729999999999999
