ts,clo,e,met,voto,Temperatura_prom,Humedad_prom,Presion_prom
2024-11-13 10:21:46.997,0.64,0.7,1.0,0.8,25.801618888888886,40.43561444444444,876.4580777777778
2024-11-13 10:22:24.533,1.87,0.7,1.0,1.0,25.801618888888886,40.43561444444444,876.4580777777778
2024-11-13 10:22:56.855,0.38,0.7,1.0,0.6,25.801618888888886,40.43561444444444,876.4580777777778
2024-11-14 11:58:35.763,0.9299999999999999,0.7,1.0,-1.2,24.7043525,35.2091025,878.3196833333333
2024-11-14 12:00:18.345,0.9,0.7,1.0,0.0,24.7043525,35.2091025,878.3196833333333
2024-11-14 12:00:38.159,0.82,0.7,1.0,-2.4,24.7043525,35.2091025,878.3196833333333
2024-11-14 12:00:47.006,0.26,0.7,1.7,0.8,24.7043525,35.2091025,878.3196833333333
2024-11-14 12:01:18.574,0.63,0.7,1.0,0.0,24.7043525,35.2091025,878.3196833333333
2024-11-14 12:05:18.169,0.24,0.7,1.2,0.0,24.7043525,35.2091025,878.3196833333333
2024-11-14 12:14:46.245,0.38,0.7,1.0,-0.6,25.359074444444445,31.426964444444447,878.03015
2024-11-14 12:15:45.834,0.64,0.8,1.0,0.0,25.359074444444445,31.426964444444447,878.03015
2024-11-14 12:15:56.388,0.58,0.7,1.0,-0.4,25.359074444444445,31.426964444444447,878.03015
2024-11-14 12:16:14.031,0.51,0.7,1.0,-1.0,25.359074444444445,31.426964444444447,878.03015
2024-11-14 12:16:57.486,0.94,0.7,1.0,-1.0,25.359074444444445,31.426964444444447,878.03015
2024-11-14 12:19:48.551,0.74,0.7,1.0,-1.0,25.359074444444445,31.426964444444447,878.03015
2024-11-14 12:20:04.377,0.33,0.7,1.2,0.4,25.359074444444445,31.426964444444447,878.03015
2024-11-20 09:56:40.668,0.78,0.7,1.0,-0.6,25.305220000000002,53.420015,880.8836583333333
2024-11-20 09:56:42.283,0.86,0.7,1.1,0.4,25.305220000000002,53.420015,880.8836583333333
2024-11-20 09:56:43.270,1.01,0.7,1.1,0.0,25.305220000000002,53.420015,880.8836583333333
2024-11-20 09:56:49.630,0.30000000000000004,0.7,1.0,-0.6,25.305220000000002,53.420015,880.8836583333333
2024-11-20 09:56:52.536,0.56,0.7,1.0,-0.4,25.305220000000002,53.420015,880.8836583333333
2024-11-20 09:57:12.952,0.74,0.7,1.0,0.0,25.305220000000002,53.420015,880.8836583333333
2024-11-20 09:57:13.659,0.7,0.7,1.0,0.0,25.305220000000002,53.420015,880.8836583333333
2024-11-20 09:57:27.122,0.7899999999999999,0.7,1.0,-0.4,25.305220000000002,53.420015,880.8836583333333
2024-11-20 09:58:50.176,0.59,0.7,1.0,-0.4,25.305220000000002,53.420015,880.8836583333333
2024-11-20 09:59:02.611,0.27,0.7,1.7,1.0,25.305220000000002,53.420015,880.8836583333333
2024-11-20 10:14:40.338,0.7999999999999999,0.7,1.0,0.4,24.975535,57.582175,855.3921250000001
2024-11-20 10:14:40.970,0.94,0.7,1.1,0.0,24.975535,57.582175,855.3921250000001
2024-11-20 10:14:46.079,0.51,0.7,1.1,0.0,24.975535,57.582175,855.3921250000001
2024-11-20 10:14:51.958,0.59,0.7,1.0,-0.2,24.975535,57.582175,855.3921250000001
2024-11-20 10:15:17.552,0.33,0.7,1.1,0.4,24.975535,57.582175,855.3921250000001
2024-11-20 10:15:58.380,0.95,0.7,1.0,-1.0,24.975535,57.582175,855.3921250000001
2024-11-20 10:16:11.961,0.53,0.7,1.0,1.0,24.975535,57.582175,855.3921250000001
2024-11-20 10:16:12.396,0.74,0.7,1.0,-0.8,24.975535,57.582175,855.3921250000001
2024-11-20 10:16:24.922,0.5,0.7,1.0,-1.2,24.975535,57.582175,855.3921250000001
2024-11-20 10:16:33.507,0.75,0.7,1.0,0.0,24.975535,57.582175,855.3921250000001
2024-11-20 10:16:38.153,0.6799999999999999,0.7,1.1,0.0,24.975535,57.582175,855.3921250000001
2024-11-20 10:16:49.015,0.58,0.7,1.1,0.6,24.975535,57.582175,855.3921250000001
2024-11-20 10:17:30.039,0.47,0.7,2.6,2.0,24.975535,57.582175,855.3921250000001
